 time            v(A)            v(B)            v(Y)           
 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.11739930e-07 
 1.00000000e-13  1.80000000e-04  1.80000000e-04  3.46452714e-07 
 2.00000000e-13  3.60000000e-04  3.60000000e-04  4.11539969e-07 
 4.00000000e-13  7.20000000e-04  7.20000000e-04  5.94033786e-07 
 8.00000000e-13  1.44000000e-03  1.44000000e-03  1.18373944e-06 
 1.60000000e-12  2.88000000e-03  2.88000000e-03  2.73108806e-06 
 3.20000000e-12  5.76000000e-03  5.76000000e-03  5.93617644e-06 
 6.40000000e-12  1.15200000e-02  1.15200000e-02  1.11424482e-05 
 1.28000000e-11  2.30400000e-02  2.30400000e-02  1.75210516e-05 
 2.28000000e-11  4.10400000e-02  4.10400000e-02  2.15468484e-05 
 3.28000000e-11  5.90400000e-02  5.90400000e-02  2.22962053e-05 
 4.28000000e-11  7.70400000e-02  7.70400000e-02  2.19839567e-05 
 5.28000000e-11  9.50400000e-02  9.50400000e-02  2.13398795e-05 
 6.28000000e-11  1.13040000e-01  1.13040000e-01  2.06206714e-05 
 7.28000000e-11  1.31040000e-01  1.31040000e-01  1.99059135e-05 
 8.28000000e-11  1.49040000e-01  1.49040000e-01  1.92277133e-05 
 9.28000000e-11  1.67040000e-01  1.67040000e-01  1.85921268e-05 
 1.02800000e-10  1.85040000e-01  1.85040000e-01  1.80034905e-05 
 1.12800000e-10  2.03040000e-01  2.03040000e-01  1.74601055e-05 
 1.22800000e-10  2.21040000e-01  2.21040000e-01  1.69623922e-05 
 1.32800000e-10  2.39040000e-01  2.39040000e-01  1.65084051e-05 
 1.42800000e-10  2.57040000e-01  2.57040000e-01  1.60979322e-05 
 1.52800000e-10  2.75040000e-01  2.75040000e-01  1.57294940e-05 
 1.62800000e-10  2.93040000e-01  2.93040000e-01  1.54028513e-05 
 1.72800000e-10  3.11040000e-01  3.11040000e-01  1.51169628e-05 
 1.82800000e-10  3.29040000e-01  3.29040000e-01  1.48717432e-05 
 1.92800000e-10  3.47040000e-01  3.47040000e-01  1.46665295e-05 
 2.02800000e-10  3.65040000e-01  3.65040000e-01  1.45014759e-05 
 2.12800000e-10  3.83040000e-01  3.83040000e-01  1.43762725e-05 
 2.22800000e-10  4.01040000e-01  4.01040000e-01  1.42913686e-05 
 2.32800000e-10  4.19040000e-01  4.19040000e-01  1.42468150e-05 
 2.42800000e-10  4.37040000e-01  4.37040000e-01  1.42434078e-05 
 2.52800000e-10  4.55040000e-01  4.55040000e-01  1.42815960e-05 
 2.62800000e-10  4.73040000e-01  4.73040000e-01  1.43625898e-05 
 2.72800000e-10  4.91040000e-01  4.91040000e-01  1.44873156e-05 
 2.82800000e-10  5.09040000e-01  5.09040000e-01  1.46575115e-05 
 2.92800000e-10  5.27040000e-01  5.27040000e-01  1.48747366e-05 
 3.02800000e-10  5.45040000e-01  5.45040000e-01  1.51414784e-05 
 3.12800000e-10  5.63040000e-01  5.63040000e-01  1.54602465e-05 
 3.22800000e-10  5.81040000e-01  5.81040000e-01  1.58347316e-05 
 3.32800000e-10  5.99040000e-01  5.99040000e-01  1.62690480e-05 
 3.42800000e-10  6.17040000e-01  6.17040000e-01  1.67690224e-05 
 3.52800000e-10  6.35040000e-01  6.35040000e-01  1.73416993e-05 
 3.62800000e-10  6.53040000e-01  6.53040000e-01  1.79969049e-05 
 3.72800000e-10  6.71040000e-01  6.71040000e-01  1.87472021e-05 
 3.82800000e-10  6.89040000e-01  6.89040000e-01  1.96098845e-05 
 3.92800000e-10  7.07040000e-01  7.07040000e-01  2.06072386e-05 
 4.02800000e-10  7.25040000e-01  7.25040000e-01  2.17674687e-05 
 4.12800000e-10  7.43040000e-01  7.43040000e-01  2.31188067e-05 
 4.22800000e-10  7.61040000e-01  7.61040000e-01  2.46658507e-05 
 4.32800000e-10  7.79040000e-01  7.79040000e-01  2.62986112e-05 
 4.42800000e-10  7.97040000e-01  7.97040000e-01  2.75048979e-05 
 4.52800000e-10  8.15040000e-01  8.15040000e-01  2.66304267e-05 
 4.62800000e-10  8.33040000e-01  8.33040000e-01  1.97734604e-05 
 4.72800000e-10  8.51040000e-01  8.51040000e-01  1.02962390e-06 
 4.82800000e-10  8.69040000e-01  8.69040000e-01 -3.42135592e-05 
 4.92800000e-10  8.87040000e-01  8.87040000e-01 -8.24235119e-05 
 5.02800000e-10  9.05040000e-01  9.05040000e-01 -1.42709774e-04 
 5.12800000e-10  9.23040000e-01  9.23040000e-01 -2.16317358e-04 
