 time            v(clk)          v(D)            v(Dn)           v(Q0)           v(Qn0)          v(Q1)           v(Qn1)          v(Q2)           v(Qn2)          v(Q3)           v(Qn3)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.15872897e+00  0.00000000e+00  1.15872897e+00  0.00000000e+00  1.15872897e+00  0.00000000e+00  1.96113275e-01 
 1.00000000e-13  0.00000000e+00  0.00000000e+00  1.80000000e+00  8.39146042e-04  1.15973394e+00  8.39140851e-04  1.15973393e+00  8.39140491e-04  1.15973393e+00  1.10414357e-03  1.97236804e-01 
 2.00000000e-13  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.31999492e-03  1.16038717e+00  1.31998180e-03  1.16038717e+00  1.31998078e-03  1.16038717e+00  1.81086897e-03  1.97968091e-01 
 4.00000000e-13  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.20293969e-03  1.16163931e+00  2.20290790e-03  1.16163930e+00  2.20290540e-03  1.16163930e+00  3.12682928e-03  1.99342831e-01 
 8.00000000e-13  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.75716768e-03  1.16403585e+00  3.75709610e-03  1.16403582e+00  3.75709347e-03  1.16403582e+00  5.62243076e-03  2.01928658e-01 
 1.60000000e-12  0.00000000e+00  0.00000000e+00  1.80000000e+00  6.52133189e-03  1.16866766e+00  6.52120204e-03  1.16866762e+00  6.52121480e-03  1.16866763e+00  1.11517761e-02  2.06942208e-01 
 3.20000000e-12  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.11603078e-02  1.17729123e+00  1.11601141e-02  1.17729119e+00  1.11601873e-02  1.17729120e+00  3.00673834e-02  2.16624828e-01 
 6.40000000e-12  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.32593838e-02  1.19277707e+00  3.32589235e-02  1.19277699e+00  3.32591002e-02  1.19277686e+00  8.34920811e-02  2.56264374e-01 
 1.28000000e-11  0.00000000e+00  0.00000000e+00  1.80000000e+00  5.93528379e-02  1.25194286e+00  5.93522839e-02  1.25194286e+00  5.93523257e-02  1.25194193e+00  1.68840626e-01  3.63778903e-01 
 2.28000000e-11  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.72426826e-02  1.36802517e+00  4.72427548e-02  1.36802551e+00  4.72427230e-02  1.36802368e+00  3.09730610e-01  5.63692321e-01 
